scenario,time,cluster_load,cluster_committed_load,active_servers,cluster_overbooking_ratio
scen_03,4,27.081819313351005,27.081819313351005,4,0.8463068535422189
scen_03,5,27.564799256912096,27.564799256912092,4,0.8613999767785029
scen_03,6,24.16761774553165,28.460850049527608,4,0.8894015640477377
scen_03,7,28.381755617351754,28.381755617351754,4,0.8869298630422423
scen_03,8,25.10089528944859,25.100895289448594,4,0.7844029777952686
scen_03,9,26.12976045073478,26.12976045073478,4,0.8165550140854618
scen_03,10,26.50563403448261,26.50563403448261,4,0.8283010635775816
scen_03,11,23.185287938196666,27.311975959892322,4,0.8534992487466351
scen_03,12,22.48639292974876,26.21925793660622,4,0.8193518105189443
scen_03,13,27.705557611507484,29.02658936951559,4,0.9070809177973622
scen_03,14,27.1084572675025,27.1084572675025,4,0.8471392896094532
scen_03,15,26.53755658550889,26.53755658550889,4,0.8292986432971529
scen_03,16,27.887625122686167,27.887625122686167,4,0.8714882850839427
scen_03,17,22.794338163848334,22.794338163848337,4,0.7123230676202605
scen_03,18,27.425499990977613,27.425499990977613,4,0.8570468747180504
scen_03,19,25.04415655643447,25.044156556434473,4,0.7826298923885773
scen_03,20,20.84907121692888,26.33526597611192,4,0.8229770617534975
scen_03,21,30.482790701599235,30.482790701599235,4,0.9525872094249761
scen_03,22,24.004282702567817,24.71689121028182,4,0.7724028503213068
scen_03,23,26.75286089931599,26.75286089931599,4,0.8360269031036247
scen_04,0,24.729166670603554,26.324852299637627,4,0.8226516343636758
scen_04,1,27.08809517894866,27.08809517894866,4,0.8465029743421456
scen_04,2,26.60427387988898,26.60427387988898,4,0.8313835587465306
scen_04,3,25.947045187038377,25.947045187038377,4,0.8108451620949493
scen_04,4,26.343593352162223,26.343593352162223,4,0.8232372922550695
scen_04,5,24.862141131724254,24.862141131724254,4,0.7769419103663829
scen_04,6,27.592782574067417,27.945990494133135,4,0.8733122029416605
scen_04,7,25.420029073609385,27.274978661903482,4,0.8523430831844838
scen_04,8,26.19579395509539,27.784967793329677,4,0.8682802435415524
scen_04,9,25.967110066715513,25.967110066715513,4,0.8114721895848598
scen_04,10,25.334838869226655,25.334838869226655,4,0.791713714663333
scen_04,11,28.082498283708354,28.082498283708354,4,0.8775780713658861
scen_04,12,26.06473295607433,26.064732956074334,4,0.8145229048773229
scen_04,13,29.125921196389264,29.125921196389264,4,0.9101850373871645
scen_04,14,28.79663268025589,28.79663268025589,4,0.8998947712579966
scen_04,15,25.61085484513405,25.61085484513405,4,0.800339213910439
scen_04,16,26.851033410609052,26.85103341060905,4,0.8390947940815328
scen_04,17,24.619136766719354,24.619136766719354,4,0.7693480239599798
scen_04,18,27.640281419790494,27.640281419790494,4,0.8637587943684529
scen_04,19,25.351487023712174,25.351487023712174,4,0.7922339694910054
scen_04,20,23.117088036952463,24.651160783432896,4,0.770348774482278
scen_04,21,25.78242839764271,25.78242839764271,4,0.8057008874263347
scen_04,22,23.327112953220535,25.021025510553724,4,0.7819070472048039
scen_04,23,25.112122351572193,26.646869790494954,4,0.8327146809529673
scen_05,0,25.67477363233778,25.674773632337775,4,0.8023366760105555
scen_05,1,26.463897862641243,26.46389786264124,4,0.8269968082075387
scen_05,2,26.425993177943703,26.425993177943703,4,0.8258122868107407
scen_05,3,27.64845811008246,28.520072348408863,4,0.891252260887777
scen_05,4,26.250023955423572,27.29724167018161,4,0.8530388021931753
scen_05,5,26.983049607334934,26.983049607334934,4,0.8432203002292167
scen_05,6,25.842043994363568,26.408511178606695,4,0.8252659743314592
scen_05,7,26.697191828017584,26.697191828017584,4,0.8342872446255495
scen_05,8,26.767222879720727,26.767222879720727,4,0.8364757149912727
scen_05,9,25.811789200433765,25.81178920043377,4,0.8066184125135553
scen_05,10,27.51357892103207,27.51357892103207,4,0.8597993412822522
scen_05,11,27.374479906842932,27.374479906842936,4,0.8554524970888417
scen_05,12,27.19934505780217,27.19934505780217,4,0.8499795330563178
scen_05,13,29.156642240237403,29.156642240237403,4,0.9111450700074188
scen_05,14,25.071913812737964,25.071913812737964,4,0.7834973066480614
scen_05,15,25.659622835722228,27.319175400205403,4,0.8537242312564188
scen_05,16,27.59883988557531,27.59883988557531,4,0.8624637464242284
scen_05,17,23.67487881826635,23.67487881826635,4,0.7398399630708234
scen_05,18,26.453264202680376,27.71237069201537,4,0.8660115841254803
scen_05,19,24.807557451567597,24.807557451567597,4,0.7752361703614874
scen_05,20,28.32523864689841,28.32523864689841,4,0.8851637077155753
scen_05,21,24.84044970667844,26.079504536666676,4,0.8149845167708336
scen_05,22,28.827058507019515,30.11826868057942,4,0.9411958962681068
scen_05,23,26.71992167638659,26.71992167638659,4,0.834997552387081
scen_06,0,25.878167186497148,25.878167186497148,4,0.8086927245780359
scen_06,1,27.52315732333026,27.52315732333026,4,0.8600986663540706
scen_06,2,26.06212994384898,26.579411842899567,4,0.8306066200906115
scen_06,3,27.442063198093358,27.442063198093358,4,0.8575644749404174
scen_06,4,26.838270422417825,26.838270422417825,4,0.838695950700557
scen_06,5,23.46450846916991,24.752517237276592,4,0.7735161636648935
scen_06,6,26.476519811035384,26.476519811035384,4,0.8273912440948558
scen_06,7,23.726706758687673,23.72670675868767,4,0.7414595862089897
scen_06,8,26.479399827338725,26.479399827338725,4,0.8274812446043351
scen_06,9,25.672972144335162,25.672972144335166,4,0.8022803795104739
scen_06,10,25.65729909326129,25.657299093261287,4,0.8017905966644152
scen_06,11,26.882328900188732,26.882328900188732,4,0.8400727781308979
scen_06,12,25.94566378753546,25.945663787535455,4,0.810801993360483
scen_06,13,24.088724477335397,24.0887244773354,4,0.7527726399167313
scen_06,14,25.81342801241348,27.62985997767455,4,0.8634331243023297
scen_06,15,24.709530376380403,24.709530376380407,4,0.7721728242618877
scen_06,16,26.753190364940323,26.753190364940323,4,0.8360371989043851
scen_06,17,27.30613011123715,28.67255262041747,4,0.8960172693880459
scen_06,18,27.059103461631835,27.059103461631835,4,0.8455969831759949
scen_06,19,26.725523188069328,26.725523188069328,4,0.8351725996271665
scen_06,20,20.65215554504942,22.524279105536927,4,0.703883722048029
scen_06,21,24.752342346402557,26.570123000722923,4,0.8303163437725913
scen_06,22,25.601952755782587,27.481785540566065,4,0.8588057981426895
scen_06,23,23.701136414071442,23.70113641407144,4,0.7406605129397325
scen_07,0,24.968091607363867,24.968091607363867,4,0.7802528627301208
scen_07,1,28.82173125224835,28.821731252248348,4,0.9006791016327609
scen_07,2,29.3117392584544,29.311739258454402,4,0.9159918518267001
scen_07,3,26.633620681029143,26.633620681029143,4,0.8323006462821607
scen_07,4,27.989846307234057,27.989846307234057,4,0.8746826971010643
scen_07,5,25.44004594461859,29.707966541556853,4,0.9283739544236517
scen_07,6,26.838791259470455,28.77763090357675,4,0.8993009657367734
scen_07,7,23.174104980036752,23.174104980036752,4,0.7241907806261485
scen_07,8,23.09339201058927,27.159831562941303,4,0.8487447363419157
scen_07,9,24.732152977682098,24.732152977682098,4,0.7728797805525656
scen_07,10,25.730015753918977,27.32463781498832,4,0.853894931718385
scen_07,11,28.160765833719676,28.160765833719672,4,0.8800239323037398
scen_07,12,20.69454410742505,24.475276186448454,4,0.7648523808265142
scen_07,13,26.7094354388265,26.709435438826496,4,0.834669857463328
scen_07,14,25.878384228712633,30.066636650090118,4,0.9395823953153162
scen_07,15,26.5088456383895,26.732685419799164,4,0.8353964193687239
scen_07,16,27.603057609488,28.959215234170607,4,0.9049754760678315
scen_07,17,25.55745233763416,25.55745233763416,4,0.7986703855510675
scen_07,18,29.17039620887955,29.17039620887955,4,0.9115748815274859
scen_07,19,26.094714822646143,26.094714822646143,4,0.815459838207692
scen_07,20,25.032882422472042,25.032882422472042,4,0.7822775757022513
scen_07,21,27.731570530619535,28.579206809478517,4,0.8931002127962037
scen_07,22,28.273713774760598,28.273713774760594,4,0.8835535554612686
scen_07,23,29.550804556049915,29.55080455604992,4,0.92346264237656
scen_08,0,30.66413393683274,30.66413393683274,4,0.9582541855260232
scen_08,1,26.80307104802349,26.80307104802349,4,0.8375959702507341
scen_08,2,26.881627560152705,26.8816275601527,4,0.8400508612547719
scen_08,3,26.85031035319063,26.850310353190626,4,0.839072198537207
scen_08,4,27.92874506359772,27.92874506359772,4,0.8727732832374288
scen_08,5,28.40201834907736,28.40201834907736,4,0.8875630734086675
scen_08,6,28.426008498266746,28.426008498266746,4,0.8883127655708358
scen_08,7,26.524891537286813,26.524891537286813,4,0.8289028605402129
scen_08,8,28.131685186131655,28.13168518613165,4,0.8791151620666141
scen_08,9,26.664242921994862,26.664242921994862,4,0.8332575913123395
scen_08,10,28.73943171366837,28.739431713668367,4,0.8981072410521365
scen_08,11,24.892264743470253,24.892264743470253,4,0.7778832732334454
scen_08,12,28.166886990765846,28.166886990765846,4,0.8802152184614327
scen_08,13,27.467460978870594,27.467460978870598,4,0.8583581555897062
scen_08,14,27.429476601477177,27.42947660147718,4,0.8571711437961619
scen_08,15,26.521358196629375,26.52135819662937,4,0.8287924436446679
scen_08,16,28.05787881261765,28.057878812617652,4,0.8768087128943016
scen_08,17,26.62337682639854,26.623376826398545,4,0.8319805258249545
scen_08,18,27.747656219622176,27.747656219622176,4,0.867114256863193
scen_08,19,26.344620901720162,26.344620901720162,4,0.8232694031787551
scen_08,20,24.48368131650481,24.48368131650481,4,0.7651150411407753
scen_08,21,25.537294405883294,25.537294405883294,4,0.798040450183853
scen_08,22,25.892290835869346,25.892290835869346,4,0.8091340886209171
scen_08,23,27.274291205110636,27.274291205110632,4,0.8523216001597073
scen_09,0,26.21739278212481,26.21739278212481,4,0.8192935244414004
scen_09,1,27.129049217749348,27.129049217749348,4,0.8477827880546671
scen_09,2,25.958590166692204,25.958590166692204,4,0.8112059427091314
scen_09,3,24.905253008768952,24.905253008768952,4,0.7782891565240297
scen_09,4,23.831581369767633,23.83158136976763,4,0.7447369178052384
scen_09,5,26.512084515877945,26.512084515877945,4,0.8285026411211858
scen_09,6,29.664820500478303,30.87142742313006,4,0.9647321069728144
scen_09,7,25.77442207288839,25.77442207288839,4,0.8054506897777622
scen_09,8,27.97066847424203,27.97066847424203,4,0.8740833898200634
